ID	m/z	Ion mode	Retention time (min)	SnF2-1	SnF2-2	SnF2-3	NaF-1	NaF-2	NaF-3	control-1	control-2	control-3	Compound ID	Adducts	Formula	Score	Fragmentation Score	¦¤ppm	Metabolites
4.10_598.0130n	599.020252	pos	4.098333333	2895.91803	3791.139967	3041.999826	2708.883546	3155.886578	2660.403791	2735.383519	2716.043628	2910.14492							
4.11_896.5155n	914.5498175	pos	4.108766667	8659.474601	9765.470154	8801.636596	8788.136526	8933.295183	8444.711867	8655.005703	8293.856138	8704.144041							
4.10_875.0057n	893.0396963	pos	4.098333333	7715.774558	8845.541084	7960.502175	7378.808943	7928.639725	7488.661951	7445.0743	7280.117472	7443.929689							
4.19_398.6918n	798.3894667	pos	4.186616667	9861.485656	10467.68618	11122.30713	11683.52166	12182.66779	12948.34538	13103.31033	12541.39148	13317.37917							
4.20_730.4443n	753.4334836	pos	4.197083333	6958.004537	8162.047997	6852.606793	7457.075363	7604.972854	7164.193037	6851.22048	6698.193976	6964.794153							
4.19_571.2993n	572.3065398	pos	4.186616667	2692.237371	3013.275422	2956.378677	3371.251069	3452.502976	3424.260381	3197.186394	3099.373218	3309.159705							
4.10_399.7288n	800.4625744	pos	4.098333333	7959.450309	7812.298604	7862.810177	8572.416748	8713.805991	8909.845819	8397.445538	8555.141194	8669.610372							
4.10_437.2516n	892.5370402	pos	4.098333333	8702.264168	12465.66417	9347.192098	9804.319152	9301.634307	8857.396242	8308.592525	7432.279913	8706.439541							
4.21_516.3286n	555.2856141	pos	4.2089	3846.516855	3244.546905	3681.956569	3929.521652	4304.842597	4323.016019	4280.9805	4140.389028	3898.376289							
4.09_568.6623n	569.6695916	pos	4.086733333	4070.27767	5394.234097	4122.507365	3724.941143	4448.594732	3970.394058	4052.869408	3954.672849	3944.174311							
3.92_355.2119n	728.4232292	pos	3.92495	2776.881271	2547.328126	2639.734234	3041.529869	2796.99716	2956.638527	2673.274314	2758.134713	2835.668026							
4.22_746.3616n	747.3688506	pos	4.219333333	15257.36733	16640.04815	15557.36199	16019.2273	16873.89839	16658.03151	16145.99561	16101.3203	16120.90349							
4.23_989.5311n	990.5229874	pos	4.230933333	329.9523818	376.9237013	342.1900962	324.0513921	440.5094535	241.6072422	441.7436676	365.0073805	403.9547494							
