ID	m/z	Ion mode	Retention time (min)	SnF2-1	SnF2-2	SnF2-3	NaF-1	NaF-2	NaF-3	control-1	control-2	control-3	Compound ID	Adducts	Formula	Score	Fragmentation Score	¦¤ppm	Metabolites
6.04_341.0845m/z	341.0844716	pos	6.04285	67.61878427	44.59953652	44.73416762	36.56170832	22.69106174	22.26925431	90.91709072	57.76415952	32.51322693	HMDB0000095	M+NH4	C9H14N3O8P	35.7	0	-3.730116378	"3-(1,1-Dimethyl-2-propenyl)-7,8-dimethoxy-2H-1-benzopyran-2-one"
1.95_131.0350m/z	131.0349941	neg	1.946233333	5.469060987	1.827961291	1.214866638	3.500559295	3.695265364	2.671560869	3.100250936	7.884372399	3.797053278	HMDB0000098	M-H2O-H	C5H10O5	38.7	0	0.078636921	Kinetensin 1-3
5.19_147.0649m/z	147.0648922	pos	5.1925	245.0079841	41.99957771	65.72201188	115.6800014	55.92335328	53.28938325	176.4986116	44.11529044	95.58266844	HMDB0000107	M+H-2H2O	C6H14O6	38.1	0	-1.60929189	N-arachidonoylglycinate
1.18_214.0489m/z	214.0488794	neg	1.184266667	102.883837	83.59536085	82.55769985	103.6098367	118.2961716	92.53241699	114.0404088	99.95494866	118.4598581	HMDB0000114	M-H	C5H14NO6P	38.3	0	1.311405306	Caprylic acid
1.43_153.0399m/z	153.0399319	pos	1.427066667	50.66794344	14.33382212	18.23696899	20.3189133	9.596677431	12.91075138	161.0593567	28.53833037	20.12222386	HMDB0000115	2M+H	C2H4O3	38.6	0	3.732670924	Pyridine
1.42_182.0573n	147.0434532	pos	1.415166667	392.4024098	324.5035136	314.9163779	250.9928438	206.6914834	196.3122937	535.2314245	338.2905139	308.9171844	HMDB0000118	"M+H-2H2O, M+NH4"	C9H10O4	38.1	0	-3.310212242	beta-D-3-[5-Deoxy-5-(dimethylarsinyl)ribofuranosyloxy]-2-hydroxy-1-propanesulfonic acid
1.21_179.0562m/z	179.0562372	neg	1.207933333	807.2742557	898.0088764	691.0889979	712.3030738	675.4870513	640.224903	1143.582234	820.0995507	745.9677398	HMDB0000122	M-H	C6H12O6	48.4	50.5	0.697300728	17-hydroxy stearic acid
1.20_180.0629n	203.0521077	pos	1.203833333	4183.874161	4199.65185	3855.434973	3742.454526	3186.004922	3542.157697	6330.654809	4246.997673	4042.917119	HMDB0000122	"M+Na, 2M+Na, M+K"	C6H12O6	39.4	1.91	-2.782715614	"PS(O-20:0/22:4(7Z,10Z,13Z,16Z))"
1.20_74.0245m/z	74.02448762	neg	1.197266667	24.33625158	18.45618638	22.54475118	34.49122298	16.05936387	18.37708118	4.179503152	12.37066767	11.43606506	HMDB0000123	M-H	C2H5NO2	38.6	0	-3.52319144	"PG(15:0/20:3(8Z,11Z,14Z))"
5.51_283.0189m/z	283.0188892	pos	5.505	300.5250063	156.1385814	113.8864852	73.39570088	56.6635145	80.78903261	417.7101443	157.5467092	181.9737883	HMDB0000124	M+Na	C6H13O9P	39.3	0	-0.192578093	PS(12:0/12:0)
1.33_171.0070m/z	171.0069822	neg	1.325766667	18.04221638	19.36334463	19.08466515	18.51770197	15.77316447	18.70939416	21.33649678	14.81601838	25.09764968	HMDB0000126	M-H	C3H9O6P	38.3	0	3.395303697	DHAP(18:0e)
1.47_73.0292m/z	73.02916134	neg	1.4651	72.86506048	63.58669646	60.87103077	67.83110865	60.55889573	53.66598622	71.28502555	87.09273793	70.90956587	HMDB0000131	M-H2O-H	C3H8O3	38.3	0	-3.711717367	Austalide L
1.72_152.0562m/z	152.0562249	pos	1.721333333	38.90525182	73.47161865	36.25775909	27.6976479	19.72920871	25.91290703	23.53117372	61.49424174	50.58858835	HMDB0000132	M+H	C5H5N5O	37.8	0	-3.054251846	Granisetron
1.42_282.0845m/z	282.0845	neg	1.418433333	128.978784	118.2987262	108.7425009	108.8671706	115.5021659	109.1728508	140.1213321	124.4363548	117.3278876	HMDB0000133	M-H	C10H13N5O5	38.5	0	0.381097353	Naematolone
1.42_284.0993m/z	284.0993078	pos	1.415166667	223.6350534	179.4540135	167.3317719	134.4064927	105.2263917	123.3252855	298.3540383	163.6327199	162.3697569	HMDB0000133	M+H	C10H13N5O5	37.8	0	1.281777935	Notoginsenoside T1
7.68_430.2947m/z	430.2947448	pos	7.6781	295.0189525	223.8361502	277.6594923	176.2219092	141.8366798	179.2720824	739.8144337	342.4131692	310.680051	HMDB0000138	M+H-2H2O	C26H43NO6	41.3	20.2	-0.946366274	PI(16:0/15:0)
4.71_464.3018m/z	464.301807	neg	4.706766667	227.9551172	297.9531652	301.0114956	352.8346499	459.3699223	404.5948259	164.0342034	287.21299	278.2193905	HMDB0000138	M-H	C26H43NO6	39.1	2.13	0.097512207	Mepivacaine
1.42_87.0084m/z	87.00839099	neg	1.418433333	6.330608707	5.1935238	5.183780886	3.731872992	6.218344169	6.031854136	5.063561528	5.595676758	10.46492252	HMDB0000139	M-H2O-H	C3H6O4	38.3	0	-3.551575128	DG(8:0/10:0/0:0)
10.67_829.7247m/z	829.724721	pos	10.66768333	0.195055366	18.18562513	116.7659549	0	80.44370096	0	16840.10583	8.547724111	1295.363591	HMDB0000140	M+NH4	C48H93NO8	36.3	0	0.95673976	Janthitrem C
1.21_146.0458m/z	146.0457938	neg	1.207933333	271.7829245	285.0926722	241.2369572	237.6016122	214.6786977	246.2575035	349.7909105	285.1925969	272.8584404	HMDB0000148	M-H	C5H9NO4	47.4	41.2	-0.59522084	2-Methyl-4-propyloxazole
1.28_148.0599m/z	148.0598723	pos	1.281533333	196.9058647	132.9455138	106.7914697	91.25573015	39.62041258	62.41873839	376.4212276	160.5639282	155.4150981	HMDB0000148	M+H	C5H9NO4	47.3	47.3	-3.821325928	L-gamma-glutamyl-L-leucine
3.49_583.3173m/z	583.3172587	pos	3.491983333	1358.605175	1671.266868	1583.923288	1548.496692	1522.232383	1604.596163	1397.359493	1443.823651	1434.426961	HMDB0000151	2M+K	C18H24O2	39	0	-2.129789385	Tartaric acid
3.24_577.3510m/z	577.3509804	pos	3.237433333	204.6792867	248.7227666	167.8913188	218.7181136	285.0969047	288.1121461	76.99418995	264.6542489	275.1463702	HMDB0000153	2M+H	C18H24O3	35.7	0	-2.403577138	Olmesartan
1.42_152.0558m/z	152.0557961	pos	1.415166667	324.6577079	211.2000246	203.4104039	186.677357	133.8915627	150.9401241	463.2044253	228.5607491	229.5919117	HMDB0000156	M+NH4	C4H6O5	49.7	56.4	3.337104567	6-Keto-decanoylcarnitine
1.24_134.0211n	133.014075	neg	1.243766667	499.1757438	435.4175792	456.589616	418.9365277	327.9098422	374.433064	771.6572781	551.0527957	525.616111	HMDB0000156	"M-H2O-H, M-H"	C4H6O5	41.3	15.5	-2.909948404	N-acetyltryptophan
1.42_135.0311m/z	135.0310722	neg	1.418433333	98.74938729	107.6607424	97.81138425	98.46856186	101.2929836	130.8816019	124.3283531	106.798326	106.7923253	HMDB0000157	M-H	C5H4N4O	38.6	0	-1.192098905	"PI(12:0/18:2(9Z,12Z))"
3.16_164.0716m/z	164.0715818	neg	3.157	426.9399635	378.0134967	398.0400211	459.1795197	410.6151405	393.4992451	518.9463344	493.4148331	531.8132697	HMDB0000159	M-H	C9H11NO2	56.9	93.8	-0.729262467	L-Phenylalanine
